"species","Locality","Latitude","Longitude","Belt","period","daily_survival_rate","daily_predation_rate","DPRtrans","DPR_assumption","Incubation_days","source_id","predated","hatched","infertile","other_failed","Failed_together","N.nests","obs_time","Exposure_days","years","mean_year","years_nr","References.and.notes","DPR","TPR","K_incl","TPR_k","DPR_k"
"Charadrius_thoracicus","Tsimanampetsotsa ",-24.145,43.829,"South tropics","after",NA,NA,"YES",NA,29,"148",22,20,2,30,54,74,0.9,1135.35,"2004-2005",2004.5,1,"Zefania et al. 2008",0.0194,0.433034639669277,1,0.538895198,0.0263
"Charadrius_sanctaehelenae","St. Helena Island",-15.967,-5.717,"South tropics","after",0.95,NA,"YES",NA,28,"149",103,65,NA,5,108,173,0.5,1638,"2007-2010",2008.5,4,"Burns et al. 2013",0.0629,0.837727283340122,1,0.772604862,0.0515
"Charadrius_alexandrinus","Miklapuzsta",46.667,19.167,"North temperate","before",NA,NA,"YES","Fail_is_depr",29,"150",52,16,NA,NA,52,68,0.5,609,"1991-1992",1991.5,2,"Székely et al. 1994",0.0854,0.92485515833784,1,0.66182062,0.0367
"Charadrius_alexandrinus","Castel Porziano, near Rome",41.687,12.375,"North temperate","before",NA,NA,"YES",NA,29,"151",28,NA,NA,NA,28,28,0.5,203,"1991-1994",1992.5,4,"Pietrelli et al. 2001",0.1379,0.986488041197394,1,0.792348951,0.0528
"Charadrius_alexandrinus","Al Wathba Wetland Reserve",24.258,54.604,"North tropics","after",NA,NA,"YES",NA,29,"152",128,69,NA,NA,128,197,0.5,1928.5,"2005-2006",2005.5,2,"Kozstolány et al. 2009",0.0664,0.863531947889157,1,0.758155561,0.0478
"Charadrius_alexandrinus","Farasan Islands",16.681,42.114,"North tropics","after",NA,NA,"YES",NA,29,"153",158,32,NA,6,164,196,0.5,1631.25,"2007-2009",2008,3,"Al Rashidi et al. 2011",0.0969,0.947889909493993,1,0.909927069,0.0797
"Charadrius_nivosus","Ceuta",23.9,-106.95,"North tropics","after",NA,NA,"YES",NA,29,"154, 513",141,429,24,137,302,731,0.5,9372.8,"2006-2016",2011.27272727273,11,"Carmona-Isunza et al.2015, Medardo Cruz López et al. In litt.",0.015,0.355691174456606,1,0.329479734,0.0137
"Charadrius_alexandrinus","Jabal lagoons",27.065,49.484,"North tropics","after",NA,NA,"YES",NA,29,"155",9,2,NA,1,10,12,0.5,101.5,"2015-2015",2015,1,"Al Rashidi 2016",0.0887,0.93229900926259,1,0.892057486,0.0739
"Charadrius_nivosus","Great Salt Lake, Utah",41.083,-112.117,"North temperate","before",NA,NA,"YES","NA, Fail_is_depr",29,"156",219,170,0,24,243,413,0.6,5072.1,"1990-1993",1991.5,4,"Paton 1994",0.0432,0.721957264757216,1,0.71940105,0.0429
"Charadrius_nivosus","Laguna Atascosa National Wildlife Refuge, Texas",26.267,-97.367,"North tropics","before",NA,NA,"YES",NA,29,"157",45,16,NA,6,51,67,0.6,722.1,"1995-1996",1995.5,2,"Rupert 1997",0.0623,0.845257861190559,1,0.845257861,0.0623
"Charadrius_nivosus","Monterey Bay, California",36.727,-121.796,"North temperate","before",NA,NA,"YES",NA,29,"158",303,761,10,210,523,1284,0.5,14304.25,"1984-1999",1991.5,16,"Neuman 2003",0.0212,0.462535438009444,1,0.62178554,0.033
"Charadrius_nivosus"," California, Eden Landing Ecological Reserve",37.587,-122.118,"North temperate","after",0.9625,NA,"YES",NA,29,"159",123,98,NA,13,136,234,0.6,2844.9,"2009-2010",2009.5,2,"Demers & Robinson-Nilsen 2012",0.0432,0.722444620435712,1,0.710360235,0.0418
"Charadrius_ruficapillus","Cheetham Wetlands, Victoria",-37.885,144.799,"South temperate","after",NA,NA,"YES",NA,28,"160",42,28,NA,NA,42,70,0.5,686,"2012-2013",2012.5,1,"Tan et al. 2015",0.0612,0.829498169356279,1,0.887600445,0.0751
"Charadrius_peronii","Khao Sam Roi Yod National Park",12.197,99.993,"North tropics","after",NA,NA,"YES",NA,28,"161",40,49,NA,NA,40,89,0.5,966,"2004-2005",2004.5,2,"Yasué et al. 2007",0.0414,0.693981214336672,1,0.446667241,0.0209
"Thinornis_rubricollis","Mornington Peninsula NP, Victoria",-38.388,144.786,"South temperate","before",NA,NA,"YES",NA,30,"163",3,68,NA,59,62,130,0.5,1462.5,"1991-1997",1994,7,"Dowling & Weston 1999",0.0021,0.0597426497771085,1,0.288129633,0.0113
"Thinornis_rubricollis","Phillip Island, southern Victoria",-38.48,145.224,"South temperate","before",NA,NA,"YES",NA,30,"164",21,13,NA,13,34,47,0.6,540,"1992-1996",1994,5,"Baird & Daan 2003",0.0389,0.6957658645987,1,0.726293245,0.0423
"Rostratula_benghalensis","I-Lan (in the city!!!)",24.717,121.717,"North tropics","after",NA,NA,"YES",NA,23,"166",2,12,0,3,5,17,0.6,200.1,"2005-2005",2005,1,"Hsu & Severinghaus 2011",0.01,0.206293569792679,1,0.20629357,0.01
"Actophilornis_africanus","Deelkraal Dam, Transvaal",-24.672,28.66,"South tropics","before",NA,NA,"YES","Fail_is_depr",25.5,"167",73,26,NA,NA,73,99,0.5,796.875,"1974-1988",1981,4,"Tarboton 1994",0.0916,0.913707890956835,1,0.717888919,0.0484
"Metopidius_indicus","Vembanur",9.183,77.383,"North tropics","before",NA,NA,"YES",NA,29,"168",17,1,0,0,17,18,0.9,247.95,"1995-1997",1996,3,"Butchart 2000",0.0686,0.87251421435009,1,0.815639308,0.0566
"Jacana_jacana","Burma willage 65 km from Georgetown",6.464,-57.76,"North tropics","before",NA,NA,"YES",NA,32,"169",4,8,0,40,44,52,0.6,537.6,"1977-1977",1977,1,"Osborne 1982",0.0074,0.212573642893736,1,0.191312876,0.0066
"Scolopax_minor","Swatara State Park, Pennsylvania",40.525,-76.464,"North temperate","after",NA,NA,"YES",NA,24.25,"171",3,9,NA,1,4,13,0.5,133.375,"2009-2010",2009.5,2,"Miller & Jordan 2011",0.0225,0.424020126247596,1,0.367995952,0.0187
"Coenocorypha_aucklandica","Snares Islands Nature reserve",-48.03333,166.6,"South temperate","before",NA,NA,"YES",NA,26,"172",0,32,0,8,8,40,0.9,760.5,"1982-1987",1984.5,6,"Miskelly 1990",0,0,1,0,0
"Gallinago_gallinago","whole country, centre",53.709,27.953,"North temperate","after",NA,NA,"YES",NA,23,"173",2,13,NA,4,6,19,0.6,220.8,"2000-2001",2000.5,2,"Mongin 2002",0.0091,0.188834039283984,1,0.222264372,0.0109
"Gallinago_gallinago","Kaliningrad",54.719,20.738,"North temperate","after",NA,NA,"YES",NA,23,"174",2,23,NA,7,9,32,0.5,316.25,"2000-2003",2001.5,4,"Yarovikova 2003",0.0063,0.135770075396533,1,0.135770075,0.0063
"Limosa_limosa","Wormer & Jisperveld reserve, Noord-Holland",52.517,4.783,"North temperate","before",0.98,NA,"YES",NA,27,"175",136,236,NA,48,184,420,0.5,4104,"1984-1987",1985.5,4,"Groen & Hemerik 2002",0.0331,0.597434635098506,1,0.503441743,0.0256
"Limosa_limosa","Selenga delta, Bajkal",52.293,106.501,"North temperate","after",0.873,NA,"NO","Fail_is_depr",27,"176",20,1,NA,NA,20,21,0.5,110,"2002-2002",2002,1,"Groen et al. 2006",0.1818,0.995564472710389,1,0.974450372,0.127
"Limosa_lapponica","Kautokeino",69,24,"Arctic","before",NA,NA,"YES",NA,24.75,"177",3,11,NA,1,4,15,0.6,185.625,"1987-1990",1988.5,4,"Larsen & Moldsvor 1992",0.0162,0.33186670188819,1,0.32134011,0.0155
"Numenius_phaeopus","Kautokeino",69,24,"Arctic","before",NA,NA,"YES",NA,29,"177",13,7,NA,NA,13,20,0.6,234.9,"1987-1990",1988.5,4,"Larsen & Moldsvor 1992",0.0553,0.808153324304654,1,0.922729181,0.0845
"Numenius_phaeopus","Värriö Subarctic Research Station",67.733,29.617,"Arctic","before",0.985,NA,"YES",NA,29,"179",5,24,0,0,5,29,0.5,384.25,"1968-1990",1979,23,"Pulliainen & Saari 1993",0.013,0.316025854815484,1,0.289784519,0.0117
"Numenius_phaeopus","South-west Iceland",63.764,-20.068,"Arctic","after",0.945,NA,"YES",NA,29,"180, 509",35,22,NA,2,37,59,0.5,572.75,"2009-2010",2009.5,2,"Katrínardóttir et al. 2015, Katrínardóttir in litt.",0.0611,0.839363469771816,1,0.771753148,0.0497
"Numenius_arquata","Västmanland (central Sweeden)",59.817,16.55,"North temperate","before",0.964,NA,"NO",NA,33.8,"181",42,34,NA,31,73,107,0.5,1683,"1987-1989",1988,3,"Berg 1992",0.025,0.574375205460123,1,0.574375206,0.025
"Numenius_arquata","Antrim, Northern Ireland",54.821,-6.058,"North temperate","before",0.902833333333333,0.0971666666666667,"NO",NA,33.8,"182",114,67,NA,10,124,191,0.5,1628.5,"1993-1995",1994,3,"Grant et al. 1999",0.07,0.913964992845248,1,0.913964993,0.07
"Numenius_arquata","Lough Erne,  Northern Ireland",54.303,-7.616,"North temperate","before",0.87925,0.12075,"NO",NA,33.8,"182",84,74,NA,10,94,168,0.5,1735.5,"1994-1995",1994.5,2,"Grant et al. 1999",0.0484,0.813042088176016,1,0.813042088,0.0484
"Numenius_arquata","Kauhava",63.083,22.933,"Arctic","before",NA,0.004,"NO",NA,33.8,"183",3,63,NA,NA,3,66,0.5,1232,"1995-1997",1996,3,"Valkama et al. 1999",0.0024,0.0791016030758416,1,0.079101603,0.0024
"Numenius_arquata","Vammala",61.367,22.833,"Arctic","before",NA,0.0526666666666667,"NO",NA,33.8,"183",34,19,NA,NA,34,53,0.5,659,"1995-1997",1996,3,"Valkama et al. 1999",0.0516,0.833114896291778,1,0.833114896,0.0516
"Numenius_americanus","Middleton, Idaho",43.868,-116.733,"North temperate","before",0.971633333333333,NA,"NO",NA,33,"185",42,70,0,7,49,119,0.5,1746,"1977-1979",1978,3,"Redmond & Jenni 1986",0.0241,0.552248978814577,1,0.552248979,0.0241
"Xenus_cinereus","Yakutia, Lena River",61.713,132.077,"Arctic","before",NA,NA,"YES",NA,27,"186",1,11,NA,1,2,13,0.5,162,"1982-1982",1982,1,"Larionov 2015",0.0062,0.153955395435165,1,0.133450816,0.0053
"Tringa_glareola","Yakutia, Lena River",61.713,132.077,"Arctic","before",NA,NA,"YES",NA,26.5,"186",1,13,NA,3,4,17,0.5,198.75,"1978-1982",1980,5,"Larionov 2015",0.005,0.125121178996558,1,0.129154976,0.0052
"Tringa_stagnatilis","Yakutia, Lena River",61.713,132.077,"Arctic","before",NA,NA,"YES",NA,26,"186",2,27,NA,4,6,33,0.5,390,"1978-1982",1980,5,"Larionov 2015",0.0051,0.125126860890786,1,0.125126861,0.0051
"Tringa_nebularia","north Sutherland, Scotland",58.533,-4.232,"North temperate","before",NA,NA,"YES",NA,28.3,"187, 508",18,45,NA,8,26,71,0.5,918.335,"1983-2007",1993.25,25,"Christian & Hancock 2009, Hancock in litt.",0.0196,0.428909667744053,1,0.4,0.0181
"Tringa_glareola","Värriö Subarctic Research Station",67.733,29.617,"Arctic","before",NA,NA,"NO",NA,26.5,"188",3,15,NA,8,11,26,0.5,151,"1970-1987",1978.5,18,"Pulliainen & Saari 1991",0.0199,0.412447938074416,1,0.412447938,0.0199
"Actitis_hypoleucos","Sedbergh, England",54.505,-3.051,"North temperate","before",NA,NA,"YES",NA,25.5,"189",2,24,0,1,3,27,0.5,325.125,"1937-1951",1944,6,"Cuthbertson et al. 1952",0.0062,0.145592644549729,1,0.119531702,0.005
"Actitis_hypoleucos","Alport and Ashop river",53.403,-1.789,"North temperate","before",NA,NA,"YES","Fail_is_depr",25.5,"190",20,62,NA,NA,20,82,0.5,918,"1967-1980",1973.5,6,"Holland et al. 1982",0.0218,0.429759295739861,1,0.155689564,0.0066
"Actitis_macularius","Milwaukee, Wisconsin",42.995,-87.882,"North temperate","before",NA,NA,"YES","Fail_is_depr",24.5,"191",2,19,NA,1,3,22,0.9,452.025,"1943-1944",1943.5,1,"Cialdini & Orians 1944",0.0044,0.102948141996057,1,0.080086264,0.0034
"Actitis_macularius","Belle isle, Detroit river, Michigan",42.34,-82.979,"North temperate","before",NA,NA,"YES",NA,24.5,"192",1,29,0,9,10,39,0.9,749.7,"1947-1947",1947,1,"Miller & Miller 1948",0.0013,0.0321726385042224,1,0.285106492,0.0136
"Actitis_macularius","Great Gull Island, New York",41.203,-72.119,"North temperate","before",NA,NA,"YES",NA,24.5,"193",1,24,NA,NA,1,25,0.5,300.125,"1970-1971",1970.5,2,"Hays 1972",0.0033,0.0785151602028179,1,0.074704633,0.0032
"Actitis_macularius","near La Salle lagoon, Minnesota",47.336,-95.193,"North temperate","before",NA,NA,"YES",NA,24.5,"194",7,7,NA,5,12,19,0.9,264.6,"1970-1972",1971,3,"Oring & Knudson 1972",0.0265,0.481531397453831,1,0.514043047,0.029
"Actitis_macularius","Little Pelican Island, Minesotta",47.112,-94.372,"North temperate","before",NA,NA,"YES",NA,24.5,"195",82,157,NA,NA,82,239,0.9,4365.9,"1975-1990",1982.5,16,"Alberico et al. 1991",0.0188,0.371571692759533,1,0.371571693,0.0188
"Arenaria_interpres","Southampot Island, East Bay migratory bird sanctuary",64.017,-81.783,"Arctic","after",0.97,NA,"NO",NA,25.9,"196, 132",55,68,0,7,62,130,0.5,1363,"2000-2014",2006.75,8,"Arctic Shorebird Demographics Network 2016, Perkins et al. 2007",0.0404,0.65588951701188,1,0.586002165,0.0335
"Calidris_tenuirostris","Anadyr surrounding",64.844,178.314,"Arctic","before",NA,NA,"YES",NA,25.95,"197",4,13,NA,1,5,18,0.6,233.55,"1993-1995",1994,3,"Tomkovich 2001",0.0171,0.361283418077492,1,0.538518623,0.0294
"Calidris_pusilla","Churchill, Manitoba",58.735744,-93.302804,"North temperate","before",NA,NA,"YES","Fail_is_depr",23.5,"200",111,102,NA,NA,111,213,0.5,1850.625,"1980-1982",1981,3,"Gratto and Cooke 1983",0.06,0.766264561332007,1,0.679616641,0.0473
"Calidris_mauri","Kolomak river, Alaska",61.725,-165.523,"Arctic","before",NA,NA,"YES","Fail_is_depr",25,"202",35,180,NA,NA,35,215,0.5,2468.75,"1966-1969",1967.5,3,"Holmes 1972",0.0142,0.300204268785886,1,0.257043104,0.0118
"Calidris_ruficollis","Uelen, Chukotka",66.0996666666667,-170.101666666667,"Arctic","before",NA,NA,"YES","Fail_is_depr",25.5,"203",23,28,NA,NA,23,51,0.9,906.525,"1978-1980",1979,3,"Morozov & Tomkovich 1988",0.0254,0.480726740551415,1,0.628205181,0.0381
"Calidris_temminckii","Botnic Bay around Oulu",65.021,24.72,"Arctic","before",0.948,NA,"YES",NA,24.8,"204",179,144,NA,45,224,368,0.5,3031.8,"1983-2001",1992,19,"Rönkä et al. 2003",0.059,0.778917037845428,1,0.475986378,0.0257
"Calidris_temminckii","Botnic Bay around Oulu",65.021,24.72,"Arctic","after",NA,NA,"YES",NA,24.8,"205",51,102,NA,NA,51,153,0.9,2845.8,"2003-2006",2004.5,4,"Thompson et al. 2014",0.0179,0.36139881989438,1,0.624517981,0.0387
"Calidris_bairdii","Qarlikturvik Valley, Sirmilik National Park",72.883,-78.917,"Arctic","after",NA,NA,"YES","Fail_is_depr",24.3,"206",25,10,NA,NA,25,35,0.5,273.375,"2006-2008",2007,2,"McKinnon & Bêty 2009",0.0914,0.902751537700246,1,0.841351519,0.073
"Calidris_fuscicollis","Qarlikturvik Valley, Sirmilik National Park",72.883,-78.917,"Arctic","after",NA,NA,"YES","Fail_is_depr",26,"206",14,4,NA,NA,14,18,0.5,143,"2006-2008",2007,2,"McKinnon & Bêty 2009",0.0979,0.931357120460829,1,0.86747643,0.0748
"Calidris_melanotos","Lower Khatanga River",72.906,106.104,"Arctic","after",NA,NA,"YES, NO","Fail_is_depr, NA",26,"208, 132",176,188,NA,0,176,364,0.6,4058.9,"1994-2014",2003.41666666667,12,"Arctic Shorebird Demographics Network 2016, Soloviev et al. 2010",0.0434,0.68417666842502,1,0.997718468,0.2086
"Calidris_minuta","Lower Khatanga River",72.906,106.104,"Arctic","after",NA,NA,"YES, NO","Fail_is_depr, NA",24.5,"208, 132",77,151,NA,0,77,228,0.6,2709.95,"1994-2014",2003.41666666667,12,"Arctic Shorebird Demographics Network 2016, Soloviev et al. 2010",0.0284,0.506493723445207,1,0.949788745,0.1149
"Philomachus_pugnax","Lower Khatanga River",72.906,106.104,"Arctic","after",NA,NA,"YES, NO","Fail_is_depr, NA",25.5,"208, 132",87,89,NA,0,87,176,0.6,1952.3,"1994-2014",2003.41666666667,12,"Arctic Shorebird Demographics Network 2016, Soloviev et al. 2010",0.0446,0.687280857407538,1,0.937762605,0.1032
"Calidris_ferruginea","Pronchishchev Lake, Taimyr",75.267,112.467,"Arctic","before",NA,NA,"NO",NA,24.7,"209",0,25,0,0,0,25,0.5,235,"1991-1991",1991,1,"Schekkerman et al. 1998",0,0,1,0,0
"Calidris_maritima","Longyearbyen, Svalbard",78.217,15.583,"Arctic","before",NA,NA,"YES",NA,25.75,"210",11,23,NA,NA,11,34,0.9,660.4875,"1995-1995",1995,1,"Pierce et al. 2010",0.0167,0.351089947351888,1,0.478708676,0.025
"Calidris_alpina","SW Skane (Soutwest Sweeden)",55.47,12.97,"North temperate","before",NA,NA,"YES",NA,25,"211",122,60,NA,21,143,203,0.6,1935,"1981-1986",1983.5,6,"Jönsson 1991",0.063,0.803699742851947,1,0.79732418,0.0619
"Phalaropus_lobatus","Mackenzie River Delta (Niglintgak, Island)",69.045,-135.048,"Arctic","after",0.9295,NA,"YES, NO",NA,22.5,"213, 132",84,48,0,30,114,162,0.5,1177.125,"2005-2014",2009.83333333333,6,"Arctic Shorebird Demographics Network 2016, Walpole et al. 2008",0.0714,0.810955965878732,1,0.754786786,0.0606
"Cursorius_cursor","Maio ",15.2,-23.168,"North tropics","after",NA,NA,"YES",NA,22.5,"214, 528",5,11,NA,5,10,21,0.5,178.875,"2013-2015",2014,2,"Gonçalves 2014, Gonçalves in litt., Seymour et al. 2015",0.028,0.471592874693923,1,0.655806189,0.0463
"Glareola_pratincola","Rabat-Bouznika",33.866,-7.063,"North temperate","after",NA,NA,"YES","Fail_is_depr",21,"216",92,83,NA,NA,92,175,0.5,1354.5,"2003-2004",2003.5,2,"Hanane et al. 2010",0.0679,0.771703146509813,1,0.153608644,0.0079
"Glareola_nuchalis","M'Passa, near Makokou",0.499,12.812,"North tropics","before",NA,NA,"YES",NA,21,"217",17,12,NA,7,24,36,0.5,252,"1970-1978",1974,9,"Brosset 1979",0.0675,0.769317977037709,1,0.703301179,0.0562
"Calidris_alba","Zackenberg",74.478,-20.555,"Arctic","before",NA,NA,"NO",NA,30.5,"500",7,27,0,1,8,35,0.5,387.3,"1996-2015",2005.5,4,"Hansen in litt.",0.0181,0.426670528366286,1,0.45,0.0191
"Calidris_alba","Zackenberg",74.478,-20.555,"Arctic","after",NA,NA,"NO",NA,30.5,"500",25,33,0,0,25,58,0.5,642.7,"1996-2015",2005.5,7,"Hansen in litt.",0.0389,0.701830172868538,1,0.749464544,0.0444
"Calidris_temminckii","Belyaka Spit, Chukotka",67.025,-174.142,"Arctic","before",NA,NA,"NO",NA,24.8,"501",11,5,NA,1,12,17,0.5,162,"1986-1988",1987,3,"Tomkovich in litt.",0.0679,0.825153907028599,1,0.85369888,0.0746
"Calidris_canutus","Knipovich Bay, Taimyr",76.083,98.533,"Arctic","before",NA,NA,"NO",NA,26,"501",6,11,NA,1,7,18,0.5,198.5,"1990-1992",1991,3,"Tomkovich in litt.",0.0302,0.549778955303095,1,0.577665401,0.0326
"Charadrius_mongolus","Meïnypilgyno, Chukotka",62.543,177.076,"Arctic","after",NA,NA,"NO",NA,26.5,"501",20,37,NA,5,25,62,0.5,872.5,"2009-2016",2012.5,8,"Tomkovich in litt.",0.0229,0.459099691820173,1,0.442182841,0.0218
"Pluvialis_fulva","Meïnypilgyno, Chukotka",62.543,177.076,"Arctic","after",NA,NA,"NO",NA,33.25,"501",19,35,NA,1,20,55,0.5,731.5,"2009-2016",2012.5,8,"Tomkovich in litt.",0.026,0.583159031969158,1,0.625654229,0.0291
"Calidris_ptilocnemis","Uelen, Chukotka",66.0996666666667,-170.101666666667,"Arctic","before",NA,NA,"NO",NA,24,"501",10,21,1,6,17,38,0.5,564,"1978-1980",1979,3,"Tomkovich in litt.",0.0177,0.349067646611631,1,0.320187303,0.016
"Charadrius_falklandicus","Puerto Madryn, Patagonia",-42.729,-65.036,"South temperate","after",0.961,NA,"NO",NA,28.5,"506",7,29,NA,25,32,61,0.6,928.5,"2012-2015",2013.5,2,"Glenda D. Hevia and Verónica L. D’Amico in litt.",0.0075,0.194004165789469,1,0.194004166,0.0075
"Tringa_nebularia","north Sutherland, Scotland",58.533,-4.232,"North temperate","after",NA,NA,"YES",NA,28.3,"508",8,15,NA,1,9,24,0.5,275.925,"2001-2007",2004,7,"Hancock in litt.",0.029,0.565101484753136,1,0.54,0.0269
"Vanellus_vanellus","Ceskobudejovicko, South Bohemia",49.115,14.268,"North temperate","before",NA,NA,"NO",NA,31,"113",151,164,NA,95,246,410,0.6,7111,"1988-1998",1993,8,"Šálek in litt.",0.0212,0.485914457978005,1,0.51,0.0225
"Phalaropus_lobatus","Ugolnie Kopi, Anadyr",64.79,177.637,"Arctic","after",NA,NA,"NO",NA,22.5,"519",6,12,0,0,6,18,0.9,272,"2015-2015",2015,1,"Sladecek et al in litt",0.0221,0.394608270722876,1,0.394610729,0.0221
"Calidris_acuminata","Lower Khatanga River",72.906,106.104,"Arctic","after",NA,NA,"YES, NO",NA,26,"520, 132",10,9,0,0,10,19,0.5,166,"2000-2014",2008.125,8,"Arctic Shorebird Demographics Network 2016, Soloviev in litt.",0.0602,0.801194100328134,1,0.972454299,0.129
"Limicola_falcinellus","Lower Khatanga River",72.906,106.104,"Arctic","after",NA,NA,"YES, NO",NA,25.3,"520, 132",11,9,0,2,13,22,0.5,170.825,"2003-2014",2009.25,5,"Arctic Shorebird Demographics Network 2016, Soloviev in litt.",0.0644,0.814364907875481,1,0.654829965,0.0412
"Calidris_mauri","21 km east of Nome, Alaska",64.449,-164.977,"Arctic","before",NA,NA,"NO",NA,25,"132",60,145,NA,14,74,219,0.6,3184.5,"1993-2014",2003.5,6,"Arctic Shorebird Demographics Network 2016",0.0188,0.378441665152968,1,0.49,0.0267
"Calidris_pusilla","21 km east of Nome, Alaska",64.449,-164.977,"Arctic","before",NA,NA,"NO",NA,23.5,"132",84,100,NA,3,87,187,0.6,2273.5,"1993-2014",2003.5,6,"Arctic Shorebird Demographics Network 2016",0.0369,0.587166636254908,1,0.611490387,0.0394
"Calidris_mauri","21 km east of Nome, Alaska",64.449,-164.977,"Arctic","after",NA,NA,"NO",NA,25,"132",123,144,NA,21,144,288,0.6,3767,"1993-2014",2003.5,6,"Arctic Shorebird Demographics Network 2016",0.0327,0.563917456154216,1,0.72,0.05
"Limnodromus_scolopaceus","Barrow, Alaska",71.3,-156.6,"Arctic","after",NA,NA,"NO",NA,24.25,"132",78,92,NA,21,99,191,0.6,2418,"2003-2014",2008.5,12,"Arctic Shorebird Demographics Network 2016",0.0323,0.548487943584624,1,0.559169142,0.0332
"Pluvialis_dominica","Barrow, Alaska",71.3,-156.6,"Arctic","after",NA,NA,"NO",NA,32.25,"132",52,71,NA,17,69,140,0.6,2493,"2003-2014",2008.5,12,"Arctic Shorebird Demographics Network 2016",0.0209,0.493280748561687,1,0.439256023,0.0178
"Tryngites_subruficollis","Barrow, Alaska",71.3,-156.6,"Arctic","after",NA,NA,"NO",NA,27,"132",6,16,NA,0,6,22,0.6,289,"2003-2014",2008.5,2,"Arctic Shorebird Demographics Network 2016",0.0208,0.432465842873253,1,0.335751356,0.015
"Numenius_phaeopus","Burntpoint Creek, Ontario",55.2,-84.3,"North temperate","after",NA,NA,"NO",NA,29,"132",10,7,NA,2,12,19,0.6,169.5,"2012-2014",2013,3,"Arctic Shorebird Demographics Network 2016",0.059,0.828549577066508,1,0.641797169,0.0348
"Pluvialis_dominica","Bylot Island",73.2,-80,"Arctic","after",NA,NA,"NO",NA,32.25,"132",91,57,NA,6,97,154,0.6,1495.5,"2005-2014",2009.5,9,"Arctic Shorebird Demographics Network 2016",0.0608,0.867957338668269,1,0.88415999,0.0647
"Calidris_bairdii","Bylot Island",73.2,-80,"Arctic","after",NA,NA,"NO",NA,24.3,"132",66,76,NA,6,72,148,0.6,1605,"2005-2014",2009.5,9,"Arctic Shorebird Demographics Network 2016",0.0411,0.639541667666417,1,0.699437573,0.0483
"Calidris_himantopus","Canning River Delta, Alaska",70.1,-145.8,"Arctic","after",NA,NA,"NO",NA,24,"132",5,11,NA,1,6,17,0.6,177,"2010-2014",2012,5,"Arctic Shorebird Demographics Network 2016",0.0282,0.497282118625597,1,0.56923461,0.0345
"Phalaropus_fulicarius","Canning River Delta, Alaska",70.1,-145.8,"Arctic","after",NA,NA,"NO",NA,22.8,"132",65,60,NA,10,75,135,0.6,1170,"2010-2014",2012,5,"Arctic Shorebird Demographics Network 2016",0.0556,0.728342130067668,1,0.736871481,0.0569
"Tryngites_subruficollis","Canning River Delta, Alaska",70.1,-145.8,"Arctic","after",NA,NA,"NO",NA,27,"132",9,5,NA,0,9,14,0.6,167,"2010-2014",2012,3,"Arctic Shorebird Demographics Network 2016",0.0539,0.775923337757437,1,0.74375802,0.0492
"Calidris_mauri","Cape Krusenstern, Alaska",67.1,-163.5,"Arctic","after",NA,NA,"NO",NA,25,"132",73,47,NA,11,84,131,0.6,1524.5,"2010-2014",2012,5,"Arctic Shorebird Demographics Network 2016",0.0479,0.706748470005796,1,0.688739402,0.0456
"Phalaropus_lobatus","Cape Krusenstern, Alaska",67.1,-163.5,"Arctic","after",NA,NA,"NO",NA,22.5,"132",36,19,NA,1,37,56,0.6,585.5,"2010-2014",2012,5,"Arctic Shorebird Demographics Network 2016",0.0615,0.760162029574889,1,0.513678553,0.0315
"Calidris_alpina","Churchill, Manitoba",58.698,-93.942,"North temperate","after",NA,NA,"NO",NA,25,"132",25,79,NA,6,31,110,0.6,1493.5,"2011-2014",2012.5,4,"Arctic Shorebird Demographics Network 2016",0.0167,0.344280501634369,1,0.346159121,0.0169
"Numenius_phaeopus","Churchill, Manitoba",58.698,-93.942,"North temperate","after",NA,NA,"NO",NA,29,"132",82,59,NA,8,90,149,0.6,1620.5,"2011-2014",2012.5,4,"Arctic Shorebird Demographics Network 2016",0.0506,0.77817755330306,1,0.773715043,0.0499
"Limnodromus_griseus","Churchill, Manitoba",58.698,-93.942,"North temperate","after",NA,NA,"NO",NA,25,"132",6,16,NA,1,7,23,0.6,262,"2011-2014",2012.5,3,"Arctic Shorebird Demographics Network 2016",0.0229,0.439640357164461,1,0.409233971,0.0208
"Limosa_haemastica","Churchill, Manitoba",58.698,-93.942,"North temperate","after",NA,NA,"NO",NA,27,"132",7,12,NA,1,8,20,0.6,201.5,"2011-2014",2012.5,3,"Arctic Shorebird Demographics Network 2016",0.0347,0.615051182412264,1,0.61,0.034
"Pluvialis_dominica","Churchill, Manitoba",58.698,-93.942,"North temperate","after",NA,NA,"NO",NA,32.25,"132",4,25,NA,1,5,30,0.6,397,"2011-2014",2012.5,3,"Arctic Shorebird Demographics Network 2016",0.0101,0.27861699516539,1,0.290101094,0.0106
"Calidris_pusilla","Colville River Delta, Alaska",70.4,-150.7,"Arctic","after",NA,NA,"NO",NA,23.5,"132",93,232,NA,5,98,330,0.6,4337.5,"2011-2014",2012.5,4,"Arctic Shorebird Demographics Network 2016",0.0214,0.399109029758253,1,0.396697233,0.0213
"Pluvialis_squatarola","Colville River Delta, Alaska",70.4,-150.7,"Arctic","after",NA,NA,"NO",NA,31.75,"132",5,15,NA,1,6,21,0.6,452.5,"2011-2014",2012.5,4,"Arctic Shorebird Demographics Network 2016",0.011,0.297269211552384,1,0.255219465,0.0092
